Player_Name,Player_id,Age,Position,Height,Weight,Season_Number,Total_Minutes_Played,USG_Percentage,TOV_Percentage,OREB_Percentage,DREB_Percentage,AST_Percentage,STL_Percentage,BLK_Percentage
Mikal Bridges,39,20.6,F,79,204,2,1073,0.153792,0.151495,0.052604,0.133768,0.120123,0.034805,0.035462
Mikal Bridges,39,19.6,F,79,204,1,813,0.145167,0.108108,0.057781,0.125085,0.075414,0.031351,0.036481
Montrezl Harrell,40,21.2,C,80,253,3,1229,0.222563,0.130425,0.09997,0.191027,0.09413,0.016672,0.037118
Montrezl Harrell,40,20.2,C,80,253,2,1083,0.219497,0.108982,0.121114,0.196696,0.082406,0.020656,0.048209
Montrezl Harrell,40,19.2,C,80,253,1,649,0.171149,0.105157,0.113566,0.145717,0.024879,0.018855,0.048531
Nic Claxton,41,20,C,84,220,2,1012,0.220084,0.149061,0.084756,0.20833,0.121792,0.019402,0.079644
Nic Claxton,41,19,C,84,220,1,485,0.16215,0.159363,0.132484,0.165684,0.025684,0.006432,0.094189
Otto Porter,42,19.8,PF,81,198,2,1097,0.240398,0.100841,0.066644,0.189823,0.185057,0.03394,0.03047
Otto Porter,42,18.8,PF,81,198,1,957,0.172802,0.125695,0.089821,0.178742,0.11042,0.024275,0.031916
Pascal Siakam,43,22,PF,82,227,2,1131,0.287565,0.105785,0.136228,0.239623,0.111563,0.017274,0.063658
Pascal Siakam,43,21,PF,82,227,1,997,0.21335,0.157185,0.137894,0.17542,0.098958,0.01756,0.05674
Robert Covington,44,22.3,PF,79,209,4,656,0.275486,0.150317,0.099041,0.180861,0.099835,0.04082,0.061682
Robert Covington,44,21.3,PF,79,209,3,981,0.272243,0.14881,0.110493,0.201079,0.114477,0.0297,0.053677
Robert Covington,44,20.3,PF,79,209,2,901,0.225915,0.172707,0.095656,0.218607,0.090757,0.029746,0.033031
Robert Williams,45,20.5,C,82,240,2,769,0.190566,0.171731,0.103739,0.272553,0.108284,0.017902,0.10003
Robert Williams,45,19.5,C,82,240,1,801,0.235689,0.144772,0.135744,0.212742,0.120101,0.015944,0.106335
Shai Gilgeous-Alexander,46,19.7,PG,78,180,1,1248,0.219178,0.179024,0.032372,0.101557,0.288231,0.028639,0.016642
Steven Adams,47,19.7,C,84,265,1,749,0.176476,0.145349,0.15263,0.19109,0.054113,0.01889,0.112153
Trae Young,48,19.5,PG,74,178,1,1133,0.370987,0.184416,0.013481,0.099663,0.484609,0.02541,0.006684
Tyrese Haliburton,49,20.1,PG,77,175,2,806,0.201699,0.187808,0.045643,0.137495,0.353895,0.038798,0.019871
Tyrese Haliburton,49,19.1,PG,77,175,1,1163,0.091882,0.135633,0.027354,0.088743,0.173001,0.027593,0.028345
Victor Oladipo,50,20.9,SG,76,213,3,1021,0.221724,0.185018,0.117401,0.140149,0.151753,0.046426,0.028323
Victor Oladipo,50,19.9,SG,76,213,2,961,0.231846,0.177421,0.086926,0.153686,0.146785,0.031078,0.023138
Victor Oladipo,50,18.9,SG,76,213,1,576,0.225637,0.181518,0.12091,0.160192,0.105395,0.036648,0.014636
